epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,376.182,0.82011,1.96886,0.93882,0.62145,0.69754,0.69633,0.58252,0.61265,0.95806,0.86577,0.00333067,0.00333067,0.00333067
2,728.798,0.78251,1.20759,0.91987,0.70256,0.72619,0.77185,0.63776,0.63195,0.87594,0.87668,0.00659803,0.00659803,0.00659803
3,1070.34,0.81146,1.10571,0.93273,0.68376,0.73301,0.74409,0.60632,0.66028,0.94468,0.88576,0.00979939,0.00979939,0.00979939
4,1410.28,0.80368,0.98755,0.93613,0.72302,0.76415,0.78284,0.6528,0.59888,0.84597,0.87246,0.009703,0.009703,0.009703
5,1749.59,0.75207,0.85004,0.92327,0.78126,0.7622,0.81046,0.68317,0.57295,0.74393,0.86419,0.009604,0.009604,0.009604
6,2090.28,0.71754,0.77234,0.9152,0.83753,0.82252,0.86311,0.74392,0.53499,0.62389,0.85514,0.009505,0.009505,0.009505
7,2427.5,0.6971,0.72337,0.9094,0.84207,0.82365,0.86378,0.74738,0.51908,0.59231,0.85087,0.009406,0.009406,0.009406
8,2765.81,0.67661,0.6868,0.90519,0.85478,0.84058,0.88292,0.77266,0.50062,0.55803,0.84326,0.009307,0.009307,0.009307
9,3105.06,0.66177,0.65299,0.89929,0.84989,0.83041,0.86979,0.76523,0.4902,0.56971,0.83936,0.009208,0.009208,0.009208
10,3445.72,0.65054,0.63059,0.89555,0.8824,0.85936,0.9046,0.79907,0.47965,0.50136,0.83594,0.009109,0.009109,0.009109
11,3823.89,0.64358,0.61252,0.89151,0.88755,0.85738,0.90746,0.80579,0.47036,0.49351,0.83221,0.00901,0.00901,0.00901
12,4160.53,0.62991,0.58941,0.88885,0.89228,0.85508,0.90869,0.81013,0.45935,0.49364,0.83125,0.008911,0.008911,0.008911
13,4497.66,0.62283,0.57528,0.88464,0.90216,0.87617,0.92451,0.82723,0.4514,0.44956,0.82789,0.008812,0.008812,0.008812
14,4835.44,0.61656,0.56133,0.88382,0.91326,0.88451,0.93413,0.8374,0.44539,0.43731,0.82516,0.008713,0.008713,0.008713
15,5174.15,0.61004,0.55186,0.8823,0.90991,0.88007,0.93303,0.83848,0.44002,0.43918,0.82301,0.008614,0.008614,0.008614
16,5512.93,0.60182,0.53811,0.87934,0.91093,0.88704,0.93529,0.84436,0.43124,0.42958,0.82099,0.008515,0.008515,0.008515
17,5882.46,0.59441,0.52622,0.87737,0.92094,0.8946,0.9442,0.85464,0.42547,0.40453,0.81863,0.008416,0.008416,0.008416
18,6220.81,0.59178,0.51894,0.87555,0.92703,0.8998,0.94675,0.8593,0.42037,0.39202,0.81761,0.008317,0.008317,0.008317
19,6671.22,0.58634,0.50957,0.87366,0.93087,0.90538,0.95039,0.86318,0.41901,0.38246,0.817,0.008218,0.008218,0.008218
20,7119.63,0.58191,0.50149,0.87262,0.93249,0.89848,0.94942,0.86544,0.41013,0.38467,0.81429,0.008119,0.008119,0.008119
21,7571.34,0.57951,0.49586,0.8724,0.93094,0.90615,0.95302,0.86939,0.40848,0.37996,0.81384,0.00802,0.00802,0.00802
22,8023.75,0.57379,0.48765,0.86893,0.93601,0.91071,0.9568,0.87456,0.40363,0.36494,0.81167,0.007921,0.007921,0.007921
23,8473.44,0.57063,0.48175,0.86928,0.94434,0.92313,0.965,0.88391,0.40112,0.3445,0.8114,0.007822,0.007822,0.007822
24,9123.34,0.56684,0.47468,0.86788,0.93627,0.91335,0.95687,0.87734,0.39735,0.36183,0.80942,0.007723,0.007723,0.007723
25,9859.98,0.56286,0.47271,0.86551,0.94525,0.92463,0.96644,0.88764,0.39356,0.33731,0.80784,0.007624,0.007624,0.007624
26,10616.3,0.55994,0.46472,0.8649,0.94583,0.92227,0.96482,0.88778,0.39043,0.34214,0.80661,0.007525,0.007525,0.007525
27,11383.3,0.55635,0.46194,0.86397,0.94781,0.92865,0.96801,0.89095,0.38914,0.3294,0.80663,0.007426,0.007426,0.007426
28,12138.2,0.55615,0.45817,0.86277,0.94905,0.92963,0.96915,0.89368,0.38672,0.32599,0.80554,0.007327,0.007327,0.007327
29,12833.7,0.55218,0.45269,0.86347,0.95078,0.9294,0.96945,0.89478,0.38304,0.32245,0.80487,0.007228,0.007228,0.007228
30,13456.9,0.54863,0.44699,0.86158,0.95513,0.93677,0.97343,0.89933,0.37998,0.30926,0.80359,0.007129,0.007129,0.007129
31,14064.6,0.54566,0.44377,0.85812,0.95422,0.93805,0.97293,0.90041,0.3772,0.30965,0.80254,0.00703,0.00703,0.00703
32,14661.5,0.54402,0.44068,0.85849,0.9574,0.93987,0.97517,0.90269,0.37615,0.3036,0.80238,0.006931,0.006931,0.006931
33,15319.8,0.54394,0.43877,0.85899,0.95822,0.93843,0.97502,0.90329,0.37452,0.30257,0.80168,0.006832,0.006832,0.006832
34,15980.6,0.53853,0.43019,0.85796,0.95555,0.94066,0.97473,0.9042,0.37281,0.3015,0.80113,0.006733,0.006733,0.006733
35,16640.8,0.5352,0.42927,0.85712,0.95921,0.94068,0.97576,0.90572,0.37117,0.29721,0.80059,0.006634,0.006634,0.006634
36,17304.1,0.533,0.42692,0.85505,0.95984,0.94061,0.97569,0.90642,0.36976,0.29804,0.80014,0.006535,0.006535,0.006535
37,17953.1,0.53441,0.42597,0.85618,0.95903,0.94354,0.97638,0.90746,0.36816,0.29573,0.79966,0.006436,0.006436,0.006436
38,18612.1,0.5294,0.42039,0.85481,0.96132,0.94425,0.97749,0.90928,0.36648,0.29139,0.79914,0.006337,0.006337,0.006337
39,19270.7,0.52739,0.41543,0.85265,0.96206,0.94599,0.97821,0.91034,inf,0.28808,0.79877,0.006238,0.006238,0.006238
40,19933,0.52785,0.41583,0.8544,0.96273,0.94467,0.97821,0.91035,0.36416,0.28747,0.79847,0.006139,0.006139,0.006139
41,20591.9,0.52351,0.41164,0.8523,0.96231,0.94564,0.97829,0.911,0.36267,0.2858,0.79804,0.00604,0.00604,0.00604
42,21253.9,0.52091,0.40776,0.85101,0.96464,0.94521,0.97872,0.91177,0.36146,0.28321,0.79764,0.005941,0.005941,0.005941
