epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.776,0.83685,2.07031,0.94401,0.55294,0.69547,0.63242,0.52558,0.65188,1.08974,0.87162,0.00333,0.00333,0.00333
2,394.714,0.79403,1.25426,0.92383,0.73274,0.74246,0.76261,0.63256,0.63288,0.85821,0.88111,0.00659737,0.00659737,0.00659737
3,594.436,0.83485,1.16185,0.93974,0.71671,0.71802,0.74583,0.60361,0.67364,0.94946,0.90244,0.00979873,0.00979873,0.00979873
4,785.783,0.82662,1.05087,0.94327,0.80588,0.73618,0.78487,0.65131,0.62395,0.82366,0.88083,0.009703,0.009703,0.009703
5,964.841,0.77371,0.909,0.92996,0.73963,0.7976,0.80069,0.67258,0.60244,0.75629,0.87826,0.009604,0.009604,0.009604
6,1149.33,0.74209,0.81999,0.92441,0.79295,0.80022,0.82986,0.709,0.56036,0.68482,0.86252,0.009505,0.009505,0.009505
7,1342.41,0.71904,0.77186,0.9165,0.81243,0.79797,0.8347,0.71808,0.53748,0.68379,0.85758,0.009406,0.009406,0.009406
8,1530.08,0.69461,0.723,0.90902,0.82688,0.8159,0.85677,0.74125,0.53256,0.60913,0.85238,0.009307,0.009307,0.009307
9,1722.56,0.67918,0.69586,0.90515,0.84658,0.81258,0.85913,0.74624,0.5183,0.6089,0.85381,0.009208,0.009208,0.009208
10,1922.07,0.66689,0.66885,0.90258,0.83848,0.8365,0.8753,0.76932,0.49719,0.56852,0.84347,0.009109,0.009109,0.009109
